blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalJungleMinionsKilled,redCSPerMin,blue_kda_ratio,blue_vision_advantage,kills_diff,elite_monster_diff,resultado_label,categoria_gold,first_blood_label,dragon_label
1,15,4,0,5,10,5,1,0,1,0,14982,6.6,15862,48,-2690,-743,17.1,53,5,1,14,0,0,0,0,17672,6.6,16605,36,18.7,0.3333333333333333,10,-5,1,Vitoria Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,16,1,1,3,5,5,0,0,0,0,15441,7.0,18222,55,329,601,22.6,14,1,0,3,2,1,1,0,15112,6.8,17621,56,20.3,0.375,15,-2,-2,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,18,4,1,4,1,3,2,1,1,0,16231,7.2,18511,52,693,-204,27.1,15,4,0,1,0,0,0,0,15538,7.2,18715,59,24.5,0.8,14,3,2,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,28,1,1,12,7,13,0,0,0,0,19146,7.4,19236,55,2994,2952,21.4,12,3,0,7,1,1,0,0,16152,6.6,16284,50,17.5,0.631578947368421,25,5,-1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,15,6,0,6,5,6,0,0,0,0,15355,7.2,17702,51,-843,147,19.7,25,1,1,7,1,1,0,0,16198,7.0,17555,55,22.3,0.5454545454545454,14,1,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,13,0,0,5,13,3,0,0,0,0,14910,6.4,16295,40,-4644,-3580,19.8,13,2,1,13,0,0,0,0,19554,7.4,19875,46,24.7,0.2777777777777778,11,-8,0,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,53,0,0,7,7,5,2,1,1,0,18333,6.8,18853,64,1665,1578,22.9,13,1,1,15,0,0,0,0,16668,6.8,17275,56,18.1,0.5,73,0,2,Vitoria Azul,Forte Vantagem,Sem First Blood,1 Dragao
0,53,1,0,4,11,9,0,0,0,0,16121,6.6,16956,65,-1587,-1578,16.9,14,2,1,12,1,1,0,0,17708,6.8,18534,40,22.1,0.26666666666666666,86,-7,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,40,1,1,10,7,16,2,1,1,0,18989,7.2,19584,67,2545,1695,20.1,40,3,0,11,0,0,0,0,16444,7.0,17889,38,21.2,0.5882352941176471,37,3,2,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,53,0,1,7,8,7,0,0,0,0,15857,6.6,16404,52,-2314,-1903,17.7,16,3,0,8,2,1,1,0,18171,6.8,18307,48,20.3,0.4666666666666667,105,-1,-2,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
1,19,2,0,7,5,12,2,1,1,0,18328,7.0,18180,57,3048,2219,22.3,17,1,1,5,0,0,0,0,15280,6.6,15961,49,19.5,0.5833333333333334,18,2,2,Vitoria Azul,Forte Vantagem,Sem First Blood,1 Dragao
1,35,3,1,6,6,8,1,1,0,0,16073,7.0,18021,52,-570,467,19.6,53,3,0,10,0,0,0,0,16643,6.8,17554,46,21.5,0.5,32,0,1,Vitoria Azul,Leve Desvantagem,Com First Blood,1 Dragao
0,13,1,0,3,6,4,0,0,0,0,14545,6.6,16581,51,-1199,-752,19.0,48,1,1,6,1,1,0,0,15744,6.8,17333,50,20.3,0.3333333333333333,12,-3,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,16,1,0,6,6,8,0,0,0,0,16421,7.4,18535,52,121,-123,22.2,15,3,1,4,1,1,0,0,16300,7.2,18658,52,24.0,0.5,13,0,-1,Derrota Azul,Leve Vantagem,Sem First Blood,0 Dragoes
0,15,2,0,7,5,10,1,1,0,0,16938,7.2,19399,48,600,824,23.1,15,1,1,8,1,0,1,0,16338,7.0,18575,60,22.9,0.5833333333333334,14,2,0,Derrota Azul,Leve Vantagem,Sem First Blood,1 Dragao
0,18,5,0,4,1,5,1,1,0,0,15056,7.0,18484,44,777,742,22.6,23,5,1,0,1,0,1,0,14279,7.0,17742,51,23.4,0.8,13,3,0,Derrota Azul,Leve Vantagem,Sem First Blood,1 Dragao
0,17,5,0,2,6,5,1,1,0,0,14697,6.8,17577,56,-1769,-587,23.0,18,5,1,6,0,0,0,0,16466,7.0,18164,40,25.4,0.25,12,-4,1,Derrota Azul,Forte Desvantagem,Sem First Blood,1 Dragao
1,53,3,0,6,6,2,1,1,0,0,16995,7.6,19978,64,-418,185,24.1,14,1,1,8,0,0,0,0,17413,7.4,19793,73,23.7,0.5,82,0,1,Vitoria Azul,Leve Desvantagem,Sem First Blood,1 Dragao
0,14,1,1,2,5,2,0,0,0,0,14985,7.0,17710,60,-1522,-1437,22.4,14,2,0,5,1,1,0,0,16507,7.2,19147,56,25.3,0.2857142857142857,12,-3,-1,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
1,18,1,1,5,6,5,0,0,0,0,16006,7.0,18385,40,-769,-701,22.5,13,5,0,5,1,1,0,0,16775,7.0,19086,52,23.5,0.45454545454545453,13,-1,-1,Vitoria Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,15,2,1,6,3,5,1,1,0,0,16523,7.0,18465,43,1284,1445,23.8,15,5,0,2,0,0,0,0,15239,6.8,17020,56,23.9,0.6666666666666666,10,3,1,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
0,14,1,1,5,4,2,0,0,0,0,15895,7.2,18881,57,688,872,22.9,22,3,0,3,0,0,0,0,15207,7.0,18009,44,23.1,0.5555555555555556,11,1,0,Derrota Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,13,6,0,5,6,3,1,1,0,0,15397,6.6,17110,55,-775,-393,22.2,19,0,1,5,0,0,0,0,16172,6.8,17503,52,19.1,0.45454545454545453,13,-1,1,Vitoria Azul,Leve Desvantagem,Sem First Blood,1 Dragao
0,18,3,1,8,10,7,0,0,0,0,16180,6.6,16639,36,-2807,-2956,18.5,16,3,0,17,0,0,0,0,18987,7.4,19595,61,23.6,0.4444444444444444,15,-2,0,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
1,41,3,1,11,3,15,1,1,0,0,19116,7.6,19542,36,3648,1867,22.3,17,0,0,2,0,0,0,0,15468,7.0,17675,68,20.9,0.7857142857142857,41,8,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,16,2,0,3,6,6,1,1,0,0,15335,6.6,17217,49,-839,-82,21.9,14,2,1,5,0,0,0,0,16174,7.0,17299,36,22.5,0.3333333333333333,14,-3,1,Vitoria Azul,Leve Desvantagem,Sem First Blood,1 Dragao
0,17,3,0,11,11,13,1,1,0,0,18614,7.0,18540,48,-558,-1482,20.8,17,2,1,15,0,0,0,0,19172,7.6,20022,52,22.7,0.5,15,0,1,Derrota Azul,Leve Desvantagem,Sem First Blood,1 Dragao
0,41,3,1,9,9,13,1,1,0,0,17641,6.8,16803,38,436,338,19.9,18,5,0,11,0,0,0,0,17205,6.4,16465,33,20.7,0.5,36,0,1,Derrota Azul,Leve Vantagem,Com First Blood,1 Dragao
0,12,3,0,4,10,1,0,0,0,0,14816,6.6,16519,46,-4490,-3582,21.8,15,0,1,6,2,1,1,1,19306,7.4,20101,56,24.7,0.2857142857142857,12,-6,-2,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,36,2,1,8,2,10,2,1,1,0,17878,6.8,18056,52,4347,2472,21.6,53,1,0,2,0,0,0,0,13531,6.2,15584,48,17.9,0.8,35,6,2,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,38,2,0,5,9,3,1,1,0,0,15278,6.4,16785,43,-1993,-2178,18.6,17,3,1,5,0,0,0,0,17271,7.0,18963,49,21.1,0.35714285714285715,35,-4,1,Derrota Azul,Forte Desvantagem,Sem First Blood,1 Dragao
0,14,2,0,5,6,0,1,1,0,0,15682,7.0,18027,44,-438,-778,24.7,47,0,1,6,0,0,0,0,16120,7.0,18805,51,20.6,0.45454545454545453,14,-1,1,Derrota Azul,Leve Desvantagem,Sem First Blood,1 Dragao
1,20,2,1,3,4,6,0,0,0,0,14632,6.4,16037,53,-1134,-906,19.8,15,4,0,5,1,0,1,0,15766,6.8,16943,46,22.3,0.42857142857142855,16,-1,-1,Vitoria Azul,Leve Desvantagem,Com First Blood,0 Dragoes
0,13,2,1,10,4,10,0,0,0,0,18224,7.4,19875,43,2978,3229,22.5,17,1,0,5,0,0,0,0,15246,6.8,16646,42,22.4,0.7142857142857143,12,6,0,Derrota Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,16,5,0,6,10,6,1,1,0,0,15815,6.6,16869,43,-1754,-211,19.6,18,3,1,10,0,0,0,0,17569,6.6,17080,40,20.1,0.375,13,-4,1,Vitoria Azul,Forte Desvantagem,Sem First Blood,1 Dragao
0,17,1,1,6,4,8,2,1,1,0,17249,7.0,18964,56,1095,768,23.9,12,4,0,6,0,0,0,0,16154,7.0,18196,56,24.7,0.6,13,2,2,Derrota Azul,Leve Vantagem,Com First Blood,1 Dragao
0,17,4,1,3,11,3,0,0,0,0,14953,6.6,17005,57,-3903,-2090,22.1,15,4,0,18,1,1,0,0,18856,7.2,19095,47,23.9,0.21428571428571427,13,-8,-1,Derrota Azul,Forte Desvantagem,Com First Blood,0 Dragoes
1,21,0,1,7,9,8,0,0,0,0,16076,6.8,16620,37,-923,-803,18.7,14,4,0,11,1,1,0,0,16999,6.8,17423,52,19.7,0.4375,17,-2,-1,Vitoria Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,13,2,0,4,4,0,1,0,1,1,17079,7.4,19361,66,1680,2384,25.0,50,2,1,3,0,0,0,0,15399,6.6,16977,62,20.0,0.5,11,0,1,Vitoria Azul,Forte Vantagem,Sem First Blood,0 Dragoes
0,22,6,1,5,10,6,1,0,1,0,17677,7.0,18225,51,1285,1300,26.9,18,5,0,9,1,1,0,0,16392,6.6,16925,44,17.3,0.3333333333333333,17,-5,0,Derrota Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,15,1,0,2,8,3,0,0,0,0,14433,6.6,16813,64,-3215,-1656,20.2,21,3,1,7,1,0,1,0,17648,7.2,18469,43,24.3,0.2,12,-6,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,12,2,0,7,5,7,0,0,0,0,17235,7.4,19413,48,750,867,25.1,12,0,1,8,0,0,0,0,16485,7.2,18546,60,23.0,0.5833333333333334,12,2,0,Derrota Azul,Leve Vantagem,Sem First Blood,0 Dragoes
0,16,3,1,3,4,4,1,1,0,0,15929,7.0,17996,62,-688,-1113,23.6,16,6,0,4,0,0,0,0,16617,7.2,19109,57,26.9,0.42857142857142855,9,-1,1,Derrota Azul,Leve Desvantagem,Com First Blood,1 Dragao
1,16,2,1,5,0,4,1,0,1,0,16475,7.2,18879,55,2741,868,23.1,12,2,0,0,1,1,0,0,13734,7.0,18011,60,23.3,1.0,14,5,0,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,15,1,0,4,5,4,0,0,0,0,15161,7.0,17998,72,-786,-837,19.4,16,2,1,3,1,1,0,0,15947,7.2,18835,55,23.1,0.4444444444444444,13,-1,-1,Vitoria Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,45,5,0,3,4,3,0,0,0,0,15128,6.8,18400,54,-279,577,21.5,17,3,1,5,1,1,0,0,15407,7.0,17823,48,24.4,0.42857142857142855,42,-1,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,12,3,0,8,1,9,1,1,0,0,19331,7.4,20193,62,5885,4652,25.4,15,0,1,0,0,0,0,0,13446,6.4,15541,59,16.9,0.8888888888888888,9,7,1,Vitoria Azul,Forte Vantagem,Sem First Blood,1 Dragao
1,19,2,1,5,4,5,0,0,0,0,15679,6.6,16202,36,812,237,22.4,18,6,0,7,0,0,0,0,14867,6.4,15965,36,22.0,0.5555555555555556,13,1,0,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,16,1,0,5,12,6,0,0,0,0,15782,6.4,16172,44,-2707,-2136,19.5,19,3,1,10,1,1,0,0,18489,7.0,18308,40,23.3,0.29411764705882354,13,-7,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,17,3,0,1,5,3,0,0,0,0,14463,6.8,18394,68,-2820,-1048,22.4,18,2,1,8,1,1,0,0,17283,7.4,19442,68,25.8,0.16666666666666666,15,-4,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,13,3,1,10,6,9,1,0,1,1,19793,7.4,19966,65,3387,1454,24.3,53,2,0,9,1,1,0,0,16406,7.0,18512,50,23.9,0.625,11,4,0,Derrota Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,18,6,1,6,2,8,2,1,1,0,17501,7.2,19153,52,2122,1958,24.8,18,3,0,2,0,0,0,0,15379,6.6,17195,52,22.9,0.75,15,4,2,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,41,6,0,3,5,4,0,0,0,0,15273,7.0,17980,58,-764,-1142,21.4,20,3,1,1,1,1,0,0,16037,7.0,19122,56,24.8,0.375,38,-2,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,24,4,0,2,9,2,0,0,0,0,14714,6.8,17620,49,-2484,-1989,21.7,14,3,1,7,0,0,0,0,17198,7.4,19609,43,23.2,0.18181818181818182,21,-7,0,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,17,0,1,8,7,7,0,0,0,0,16885,6.6,17748,40,-11,-1495,22.0,12,6,0,6,1,1,0,0,16896,7.2,19243,60,21.3,0.5333333333333333,11,1,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,14,4,1,8,8,6,0,0,0,1,18801,7.2,19438,74,1917,1322,21.5,19,2,0,6,1,1,0,0,16884,7.0,18116,50,20.2,0.5,12,0,-1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,12,0,1,9,7,13,0,0,0,0,17252,6.4,15960,39,166,-1644,18.8,16,3,0,8,1,1,0,0,17086,7.0,17604,54,19.2,0.5625,8,2,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,12,0,0,1,9,1,1,1,0,0,13727,6.6,16509,62,-5000,-4822,20.7,27,2,1,6,0,0,0,0,18727,7.6,21331,77,25.4,0.1,10,-8,1,Derrota Azul,Forte Desvantagem,Sem First Blood,1 Dragao
1,19,4,1,3,2,2,0,0,0,0,15391,6.6,17387,41,1343,1089,23.2,17,3,0,1,1,1,0,0,14048,6.4,16298,48,21.8,0.6,16,1,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,18,4,1,12,9,20,0,0,0,0,20188,7.2,18981,47,2735,1076,22.6,15,2,0,19,0,0,0,0,17453,6.8,17905,42,19.8,0.5714285714285714,16,3,0,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,29,1,1,7,4,6,0,0,0,0,17028,7.4,19169,52,1586,2622,24.7,17,1,0,4,1,1,0,0,15442,6.6,16547,55,21.4,0.6363636363636364,28,3,-1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,16,0,0,8,5,8,2,1,1,0,17390,7.2,19016,60,1716,1837,21.2,15,1,1,8,0,0,0,0,15674,6.8,17179,36,22.6,0.6153846153846154,15,3,2,Vitoria Azul,Forte Vantagem,Sem First Blood,1 Dragao
0,18,3,1,8,5,5,0,0,0,0,16208,6.4,16287,40,-315,-1874,19.0,16,3,0,5,1,1,0,0,16523,7.0,18161,58,24.2,0.6153846153846154,15,3,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,15,2,1,6,3,5,0,0,0,0,16542,7.0,19014,63,1428,1200,21.4,17,3,0,4,1,1,0,0,15114,7.0,17814,56,23.8,0.6666666666666666,12,3,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,21,4,1,8,4,11,1,1,0,0,18382,7.0,19220,68,2498,1487,22.4,15,5,0,5,0,0,0,0,15884,7.0,17733,52,21.7,0.6666666666666666,16,4,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,13,4,0,5,5,5,1,1,0,0,16131,6.8,17436,48,874,818,22.3,15,2,1,5,0,0,0,0,15257,6.6,16618,32,21.9,0.5,11,0,1,Derrota Azul,Leve Vantagem,Sem First Blood,1 Dragao
1,14,4,0,3,3,2,0,0,0,0,15751,6.8,17685,46,926,328,25.2,46,4,1,3,0,0,0,0,14825,6.8,17357,49,21.5,0.5,10,0,0,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
0,16,1,0,11,5,10,0,0,0,0,18874,7.2,19652,41,3091,2498,22.4,21,1,1,7,0,0,0,0,15783,6.6,17154,37,21.5,0.6875,15,6,0,Derrota Azul,Forte Vantagem,Sem First Blood,0 Dragoes
0,19,3,0,7,11,6,0,0,0,0,16509,6.8,17298,53,-1997,-2590,21.0,35,4,1,10,0,0,0,0,18506,7.4,19888,67,22.8,0.3888888888888889,15,-4,0,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,51,2,0,5,7,7,0,0,0,0,15175,6.4,16256,60,-1243,-1229,17.0,18,0,1,6,1,1,0,0,16418,6.8,17485,37,21.9,0.4166666666666667,51,-2,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,16,3,0,5,7,6,0,0,0,0,16043,6.8,17403,38,-689,-1668,23.7,18,2,1,5,1,1,0,0,16732,7.0,19071,57,23.1,0.4166666666666667,14,-2,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,16,2,1,3,3,4,0,0,0,0,14951,6.8,17903,44,-1036,-942,22.5,17,1,0,3,1,1,0,0,15987,7.2,18845,58,25.2,0.5,15,0,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,35,2,1,5,2,5,1,1,0,0,16214,7.2,18849,52,136,365,22.5,13,2,0,2,1,0,1,1,16078,7.0,18484,56,23.6,0.7142857142857143,33,3,0,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,39,2,0,7,7,9,0,0,0,0,16391,7.0,17955,39,129,230,20.9,35,2,1,5,1,1,0,0,16262,6.6,17725,63,19.9,0.5,37,0,-1,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
0,53,2,1,6,8,4,2,1,1,0,16385,6.6,17327,58,-219,-589,21.5,14,1,0,15,0,0,0,0,16604,6.8,17916,48,19.9,0.42857142857142855,156,-2,2,Derrota Azul,Leve Desvantagem,Com First Blood,1 Dragao
0,18,6,0,6,11,9,0,0,0,0,16124,7.0,17595,37,-2494,-1188,23.2,20,5,1,18,1,1,0,0,18618,7.0,18783,50,23.0,0.35294117647058826,13,-5,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
0,15,3,1,3,3,1,1,1,0,0,15848,7.0,18490,60,1259,720,25.1,20,1,0,2,0,0,0,0,14589,6.8,17770,43,22.0,0.5,14,0,1,Derrota Azul,Leve Vantagem,Com First Blood,1 Dragao
1,14,4,1,8,5,16,1,1,0,0,17338,7.0,18403,54,1554,727,21.4,16,3,0,6,0,0,0,0,15784,6.6,17676,48,23.9,0.6153846153846154,11,3,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,14,2,0,5,9,3,1,1,0,0,15908,6.8,16828,44,-2080,-1117,21.1,17,4,1,10,0,0,0,0,17988,7.0,17945,44,24.7,0.35714285714285715,10,-4,1,Derrota Azul,Forte Desvantagem,Sem First Blood,1 Dragao
1,18,2,1,5,4,4,1,1,0,0,15792,7.0,17609,56,683,246,22.8,20,1,0,6,0,0,0,0,15109,6.6,17363,41,21.0,0.5555555555555556,17,1,1,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,17,6,1,7,4,11,1,0,1,2,19915,7.2,18674,53,5286,3583,24.6,17,1,0,8,1,1,0,0,14629,6.2,15091,45,15.4,0.6363636363636364,16,3,0,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
1,23,3,1,7,1,7,1,1,0,0,16850,7.2,19499,64,1994,1541,22.8,44,1,0,2,1,0,1,0,14856,7.0,17958,58,22.4,0.875,22,6,0,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,18,5,0,3,8,2,1,1,0,0,14905,6.8,17974,52,-3282,-1647,23.3,18,3,1,12,0,0,0,0,18187,7.4,19621,52,22.5,0.2727272727272727,15,-5,1,Derrota Azul,Forte Desvantagem,Sem First Blood,1 Dragao
0,12,4,0,5,8,7,0,0,0,0,16265,7.0,17407,56,-1195,-1492,21.7,17,3,1,6,1,1,0,0,17460,7.2,18899,59,24.4,0.38461538461538464,9,-3,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,18,3,1,10,0,8,0,0,0,0,18408,7.4,19945,52,5041,3633,24.3,15,3,0,0,0,0,0,0,13367,6.6,16312,57,20.2,1.0,15,10,0,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,16,4,1,7,10,6,1,1,0,0,17448,6.8,17864,62,-102,363,20.5,42,4,0,11,0,0,0,0,17550,6.8,17501,50,18.1,0.4117647058823529,12,-3,1,Derrota Azul,Leve Desvantagem,Com First Blood,1 Dragao
0,19,2,0,11,11,10,0,0,0,0,18174,6.8,17137,34,-787,-926,22.2,17,5,1,16,1,1,0,0,18961,6.6,18063,40,22.5,0.5,14,0,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,17,6,0,7,8,8,0,0,0,0,16670,7.0,17287,42,-508,-1385,22.0,20,3,1,6,0,0,0,0,17178,7.0,18672,54,21.7,0.4666666666666667,14,-1,0,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,20,4,1,8,6,11,1,1,0,0,18074,7.4,19942,59,1634,1007,25.2,13,4,0,7,0,0,0,0,16440,7.0,18935,56,22.3,0.5714285714285714,16,2,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,14,1,0,3,4,0,0,0,0,0,15084,7.2,19173,68,-1302,1008,22.4,14,1,1,5,1,1,0,0,16386,7.0,18165,60,22.6,0.42857142857142855,13,-1,-1,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,12,0,0,6,7,5,0,0,0,0,15736,7.0,17285,45,-915,3,18.8,19,1,1,4,1,1,0,0,16651,7.0,17282,59,19.9,0.46153846153846156,10,-1,-1,Vitoria Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
0,16,3,1,6,7,8,0,0,0,0,16554,6.6,17192,49,-154,-193,21.5,16,2,0,9,1,0,1,0,16708,6.8,17385,48,21.8,0.46153846153846156,14,-1,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,17,6,0,4,5,4,1,0,1,0,16178,7.6,19249,80,297,1259,22.3,19,4,1,5,0,0,0,0,15881,7.0,17990,48,22.5,0.4444444444444444,13,-1,1,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
0,12,1,0,5,15,4,0,0,0,0,15727,6.8,17147,46,-4245,-3455,19.8,15,0,1,20,0,0,0,0,19972,7.4,20602,47,22.7,0.25,11,-10,0,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,18,3,0,5,5,3,1,0,1,0,16009,7.2,19116,45,565,2073,20.6,21,3,1,4,0,0,0,0,15444,6.8,17043,49,21.8,0.5,15,0,1,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
1,17,6,0,4,6,6,1,1,0,0,15931,6.8,17539,52,-730,-251,22.2,19,1,1,7,0,0,0,0,16661,7.0,17790,64,21.3,0.4,16,-2,1,Vitoria Azul,Leve Desvantagem,Sem First Blood,1 Dragao
1,14,5,1,5,9,8,0,0,0,0,14927,6.6,15638,25,-2614,-1880,19.6,17,3,0,16,1,1,0,0,17541,6.8,17518,47,21.4,0.35714285714285715,11,-4,-1,Vitoria Azul,Forte Desvantagem,Com First Blood,0 Dragoes
0,12,6,1,4,5,6,1,0,1,0,16260,6.8,18128,63,266,-282,22.5,53,2,0,10,1,1,0,0,15994,7.2,18410,48,22.4,0.4444444444444444,10,-1,0,Derrota Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,14,0,1,8,5,7,1,1,0,0,17981,7.2,19233,64,2565,1634,24.5,14,1,0,3,0,0,0,0,15416,6.6,17599,48,19.9,0.6153846153846154,13,3,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,13,2,1,5,0,4,0,0,0,0,16637,7.0,18095,51,2712,1161,25.0,39,2,0,0,1,1,0,0,13925,7.0,16934,62,21.5,1.0,11,5,-1,Vitoria Azul,Forte Vantagem,Com First Blood,0 Dragoes
0,12,1,0,2,4,0,0,0,0,0,14395,6.6,17060,43,-1386,-335,21.0,16,1,1,6,0,0,0,0,15781,6.8,17395,60,21.1,0.3333333333333333,10,-2,0,Derrota Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,15,0,1,9,2,5,1,1,0,0,18079,7.2,19818,52,3854,2379,27.2,15,1,0,1,0,0,0,0,14225,6.8,17439,41,23.0,0.8181818181818182,14,7,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,19,6,0,4,5,4,1,0,1,0,15522,7.0,18317,63,-1071,-120,21.4,30,6,1,7,1,1,0,0,16593,7.2,18437,64,24.6,0.4444444444444444,9,-1,0,Vitoria Azul,Leve Desvantagem,Sem First Blood,0 Dragoes
1,19,4,0,11,1,13,1,0,1,1,20251,7.4,20985,61,6942,6381,26.3,19,6,1,1,1,1,0,0,13309,6.2,14604,42,18.6,0.9166666666666666,13,10,0,Vitoria Azul,Forte Vantagem,Sem First Blood,0 Dragoes
1,18,1,1,8,5,5,1,1,0,0,16104,6.8,17424,56,530,227,17.5,15,5,0,4,0,0,0,0,15574,6.8,17197,47,22.7,0.6153846153846154,13,3,1,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,12,6,0,4,5,5,2,1,1,0,16630,7.2,19373,70,-159,-206,25.1,22,2,1,6,0,0,0,0,16789,7.2,19579,65,24.4,0.4444444444444444,10,-1,2,Vitoria Azul,Leve Desvantagem,Sem First Blood,1 Dragao
1,38,3,0,4,5,4,1,1,0,0,15184,6.8,17545,48,-700,906,19.9,16,0,1,5,1,0,1,0,15884,6.6,16639,38,21.5,0.4444444444444444,38,-1,0,Vitoria Azul,Leve Desvantagem,Sem First Blood,1 Dragao
0,15,0,1,4,4,6,0,0,0,0,15711,7.4,19278,57,-204,1135,21.0,19,0,0,4,1,1,0,0,15915,7.0,18143,58,22.9,0.5,15,0,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
0,14,0,1,6,6,6,0,0,0,0,15715,6.6,16563,44,-826,-979,18.8,12,1,0,7,1,0,1,0,16541,7.0,17542,36,23.7,0.5,13,0,-1,Derrota Azul,Leve Desvantagem,Com First Blood,0 Dragoes
1,24,2,0,7,4,11,0,0,0,0,18113,7.2,19187,49,1350,524,23.1,16,5,1,6,0,0,0,0,16763,7.0,18663,65,26.2,0.6363636363636364,19,3,0,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
